"(PDH-CSV 4.0) (GMT Standard Time)(0)","\\SQL01\LogicalDisk(E:\Data_X\tLog_01)\Avg. Disk sec/Read","\\SQL01\LogicalDisk(E:\Data_X\data_01)\Avg. Disk sec/Read","\\SQL01\LogicalDisk(E:\Data_X\backup_01)\Avg. Disk sec/Read","\\SQL01\LogicalDisk(E:)\Avg. Disk sec/Read","\\SQL01\LogicalDisk(C:)\Avg. Disk sec/Read","\\SQL01\LogicalDisk(E:\Data_X\tLog_01)\Avg. Disk sec/Write","\\SQL01\LogicalDisk(E:\Data_X\data_01)\Avg. Disk sec/Write","\\SQL01\LogicalDisk(E:\Data_X\backup_01)\Avg. Disk sec/Write","\\SQL01\LogicalDisk(E:)\Avg. Disk sec/Write","\\SQL01\LogicalDisk(C:)\Avg. Disk sec/Write","\\SQL01\LogicalDisk(E:\Data_X\tLog_01)\Avg. Disk sec/Transfer","\\SQL01\LogicalDisk(E:\Data_X\data_01)\Avg. Disk sec/Transfer","\\SQL01\LogicalDisk(E:\Data_X\backup_01)\Avg. Disk sec/Transfer","\\SQL01\LogicalDisk(E:)\Avg. Disk sec/Transfer","\\SQL01\LogicalDisk(C:)\Avg. Disk sec/Transfer"
"03/18/2017 09:53:43.475","0","0","0","0","0","0.0008260000323265347","0","0","0","0","0.0008260000323265347","0","0","0","0"
"03/18/2017 09:53:45.475","0","0","0","0","0","0.00085211466246581436","0","0","0","0.0006866794522767558","0.00085211466246581436","0","0","0","0.0006866794522767558"
"03/18/2017 09:53:47.475","0","0","0","0","0","0.00085981315373585409","0","0","0","0.00099996747391877211","0.00085981315373585409","0","0","0","0.00099996747391877211"
"03/18/2017 09:53:49.474","0","0","0","0","0","0.0011041409134092657","0","0","0","0","0.0011041409134092657","0","0","0","0"
"03/18/2017 09:53:49.476","0","0","0","0","0","0.00080010168890180182","0","0","0","0","0.00080010168890180182","0","0","0","0"
"03/18/2017 09:53:51.475","0","0","0","0","0","0.00083613183078935414","0","0","0","0.0049334016846647637","0.00083613183078935414","0","0","0","0.0049334016846647637"
"03/18/2017 09:53:53.475","0","0","0","0","0","0.0010464343164679941","0","0","0","0","0.0010464343164679941","0","0","0","0"
"03/18/2017 09:53:55.475","0","0","0","0","0","0.00091148183740435225","0","0","0","0","0.00091148183740435225","0","0","0","0"
"03/18/2017 09:53:57.475","0","0","0","0","0","0.00083784701997351922","0","0","0","0.00076667099682594666","0.00083784701997351922","0","0","0","0.00076667099682594666"
"03/18/2017 09:53:59.475","0","0","0","0","0","0.00084282939212500718","0","0","0","0.0012214241913826637","0.00084282939212500718","0","0","0","0.0012214241913826637"
"03/18/2017 09:54:01.475","0","0","0","0","0","0.0010269982639939152","0","0","0","0.0011714178358263013","0.0010269982639939152","0","0","0","0.0011714178358263013"
"03/18/2017 09:54:03.474","0","0","0","0","0","0.001067224258257707","0","0","0","0.0017500129206365614","0.001067224258257707","0","0","0","0.0017500129206365614"
"03/18/2017 09:54:03.476","0","0","0","0","0","0.00070008897778907656","0","0","0","0","0.00070008897778907656","0","0","0","0"
"03/18/2017 09:54:05.475","0","0","0","0","0","0.000951525157148204","0","0","0","0.0012333038603137177","0.000951525157148204","0","0","0","0.0012333038603137177"
"03/18/2017 09:54:07.475","0","0","0","0","0","0.00098146476980092183","0","0","0","0.00069999585608412993","0.00098146476980092183","0","0","0","0.00069999585608412993"
"03/18/2017 09:54:09.475","0","0","0","0","0","0.00092945415925927669","0","0","0","0.0011882384328668785","0.00092945415925927669","0","0","0","0.0011882384328668785"
"03/18/2017 09:54:11.475","0","0","0","0","0","0.00095448045345624235","0","0","0","0.00099984774601241211","0.00095448045345624235","0","0","0","0.00099984774601241211"
"03/18/2017 09:54:13.475","0","0","0","0","0.027999999793062877","0.00078423171726349798","0","0","0","0.00090000265396859098","0.00078423171726349798","0","0","0","0.023765625240079396"
"03/18/2017 09:54:15.475","0","0","0","0","0","0.00097616202395946216","0","0","0","0.00091113380176654991","0.00097616202395946216","0","0","0","0.00091113380176654991"
"03/18/2017 09:54:17.475","0","0","0","0","0","0.00075371721378411779","0","0","0","0","0.00075371721378411779","0","0","0","0"
"03/18/2017 09:54:19.474","0","0","0","0","0","0.00084977986223808805","0","0","0","0.00067498802222070125","0.00084977986223808805","0","0","0","0.00067500199047644321"
"03/18/2017 09:54:19.476","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"03/18/2017 09:54:21.475","0","0","0","0","0","0.00087467049615839532","0","0","0","0.00080010168890180182","0.00087467049615839532","0","0","0","0.00079982232378696171"
"03/18/2017 09:54:23.475","0","0","0","0","0.00059993658411893131","0.00075761136716108815","0","0","0","0.0008272762955271486","0.00075761136716108815","0","0","0","0.00079230095531049988"
"03/18/2017 09:54:25.475","0","0","0","0","0","0.00091245200982947047","0","0","0","0.002589993979681775","0.00091245200982947047","0","0","0","0.0025900219161932589"
"03/18/2017 09:54:27.475","0","0","0","0","0.0053136387699858753","0.0008688676754716665","0","0","0","0.0018999621460269391","0.0008688676754716665","0","0","0","0.0050291657179892977"
"03/18/2017 09:54:29.475","0","0","0","0","0","0.00089263905514993288","0","0","0","0.00080000391111160769","0.00089263905514993288","0","0","0","0.00079998994285586573"
"03/18/2017 09:54:31.475","0","0","0","0","0","0.0011222220825396647","0","0","0","0","0.0011222220825396647","0","0","0","0"
"03/18/2017 09:54:33.475","0","0","0","0","0","0.00079982232378696171","0","0","0","0.00094000773841368109","0.00079982232378696171","0","0","0","0.00094000773841368109"
"03/18/2017 09:54:35.474","0","0","0","0","0","0","0","0","0","0.00072502231428854785","0","0","0","0","0.00072502231428854785"
"03/18/2017 09:54:35.476","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"03/18/2017 09:54:37.475","0","0","0","0","0","0","0","0","0","0.00097995694983580304","0","0","0","0","0.00098001282285877108"
"03/18/2017 09:54:39.475","0","0","0","0","0","0.00080010168890180182","0","0","0","0.00070003310476610852","0.00080010168890180182","0","0","0","0.00069997723174314058"
"03/18/2017 09:54:41.475","0","0","0","0","0","0.0019999748571396642","0","0","0","0","0.0019999748571396642","0","0","0","0"
"03/18/2017 09:54:43.475","0","0","0","0","0","0","0","0","0","0.00099984774601241211","0","0","0","0","0.0010001271111272521"
"03/18/2017 09:54:45.475","0","0","0","0","0.010699963263487398","0.00070008897778907656","0","0","0","0.0012125144396843734","0.00070008897778907656","0","0","0","0.0022666443795386158"
"03/18/2017 09:54:47.475","0","0","0","0","0","0","0","0","0","0.0010998604571251375","0","0","0","0","0.0011001398222399775"
"03/18/2017 09:54:49.474","0","0","0","0","0","0","0","0","0","0.0010500403449786682","0","0","0","0","0.0010499937841261947"
"03/18/2017 09:54:49.476","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"03/18/2017 09:54:51.475","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"03/18/2017 09:54:53.475","0","0","0","0","0","0","0","0","0","0.00099984774601241211","0","0","0","0","0.0010001271111272521"
"03/18/2017 09:54:55.475","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"03/18/2017 09:54:57.475","0","0","0","0","0","0.00079982232378696171","0","0","0","0.0018999621460269391","0.00079982232378696171","0","0","0","0.0018999621460269391"
